,title,related_genres,genre
258,Kang Mak (from Pee Mak),"[35, 27, 10749, 10752]",1263112
259,Ice Age: The Meltdown,"[16, 10751, 35, 12]",950
260,Happy Feet,"[16, 35, 10751]",9836
261,Spirit: Stallion of the Cimarron,"[16, 12, 35, 10751, 18, 37, 10749]",9023
262,My Next Life as a Villainess: All Routes Lead to Doom! The Movie,"[16, 35, 18, 14]",997086
263,P.O. Box Tinto Brass,[35],55580
264,"Me, Myself & Irene",[35],2123
265,Freaky Friday,"[35, 10751, 14]",10330
266,American Wedding,"[35, 10749]",8273
267,Madagascar 3: Europe's Most Wanted,"[16, 10751, 35, 12]",80321
268,The Simpsons Movie,"[16, 35, 10751]",35
269,Life Is Beautiful,"[35, 18]",637
270,Rango,"[16, 35, 10751, 37, 12]",44896
271,La figliastra - Storia di corna e di passioni,"[35, 10749]",271026
272,Jumanji: The Next Level,"[12, 35, 14]",512200
273,Charlie's Angels: Full Throttle,"[28, 12, 35]",9471
274,Beverly Hills Cop III,"[28, 35, 80]",306
275,Grease,"[10749, 35]",621
276,Ted,"[35, 14]",72105
277,The Hangover Part II,[35],45243
278,The Intouchables,"[18, 35]",77338
279,Destroy All Neighbors,"[35, 27, 10402]",974558
280,Madagascar: Escape 2 Africa,"[10751, 12, 16, 35]",10527
281,The Kissing Booth,"[10749, 35]",454983
282,Space Cadet,"[35, 10749]",1019411
283,Men in Black,"[28, 12, 35, 878]",607
284,The Grand Budapest Hotel,"[35, 18]",120467
285,Groundhog Day,"[10749, 14, 18, 35]",137
286,The Roundup,"[28, 80, 35, 53]",619803
287,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"[35, 80]",10607
288,Dumb and Dumber,[35],8467
289,Sing,"[16, 35, 10751, 10402]",335797
290,The Angry Birds Movie,"[16, 12, 35, 10751]",153518
291,Shark Tale,"[16, 28, 35, 10751]",10555
292,Jungle Cruise,"[35, 28, 14, 12]",451048
293,Matilda,"[35, 10751, 14]",10830
294,The Gentlemen,"[28, 80, 35]",522627
295,A Dog's Purpose,"[12, 35, 14, 10751, 18]",381289
296,Mother of the Bride,"[10749, 35]",1093231
297,Boot Camp,"[35, 10749]",1319504
298,Sex and Zen III,"[35, 10749, 18]",123338
299,Norbit,[35],9757
